policy,label,start_s,end_s,cg_numa_hint_faults_delta,cg_numa_pte_updates_delta,cg_pgpromote_success_delta,cg_pgdemote_direct_delta,cg_pgdemote_kswapd_delta,pte_updates_gib_delta,promote_gib_delta,demote_gib_delta
oracle_cgroup_global0,Miracle,221.29,226.313,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,226.313,231.332,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,231.332,236.351,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,236.351,241.39,0,208146,0,0,0,0.7940139770507812,0.0,0.0
oracle_cgroup_global0,Miracle,241.39,246.411,552414,1270769,502188,65539,0,4.847599029541016,1.9156951904296875,0.2500114440917969
oracle_cgroup_global0,Miracle,246.411,251.435,557829,1067666,351119,634944,0,4.072822570800781,1.3394126892089844,2.422119140625
oracle_cgroup_global0,Miracle,251.435,256.467,879944,1505338,0,0,0,5.742408752441406,0.0,0.0
oracle_cgroup_global0,Miracle,256.467,261.503,0,1572864,0,0,0,6.0,0.0,0.0
oracle_cgroup_global0,Miracle,261.503,266.543,0,1116160,0,0,0,4.2578125,0.0,0.0
oracle_cgroup_global0,Miracle,266.543,271.57,600291,655735,34780,0,0,2.5014305114746094,0.1326751708984375,0.0
oracle_cgroup_global0,Miracle,271.57,276.597,0,661051,0,0,0,2.521709442138672,0.0,0.0
oracle_cgroup_global0,Miracle,276.597,281.617,66043,84855,60043,0,0,0.3236961364746094,0.22904586791992188,0.0
oracle_cgroup_global0,Miracle,281.617,286.641,1017376,501988,500112,442177,0,1.9149322509765625,1.90777587890625,1.6867713928222656
oracle_cgroup_global0,Miracle,286.641,291.663,0,2,0,245952,0,7.62939453125e-06,0.0,0.938232421875
oracle_cgroup_global0,Miracle,291.663,296.685,0,4,0,0,0,1.52587890625e-05,0.0,0.0
oracle_cgroup_global0,Miracle,296.685,301.71,4966975,517288,105379,0,0,1.973297119140625,0.4019889831542969,0.0
oracle_cgroup_global0,Miracle,301.71,306.731,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,306.731,311.755,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,311.755,316.775,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,316.775,321.8,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,321.8,326.82,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,326.82,331.844,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,331.844,336.868,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,336.868,341.893,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,341.893,346.921,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,346.921,351.945,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,351.945,356.968,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,356.968,362.025,0,0,0,0,0,0.0,0.0,0.0
oracle_cgroup_global0,Miracle,362.025,367.089,0,0,0,0,0,0.0,0.0,0.0
