placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,22.0,251.396096
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,23.0,176.422912
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,24.0,338.690048
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,25.0,254.27968
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,26.0,342.622208
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,27.0,255.852544
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,28.0,418.906112
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,29.0,230.162432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,30.0,270.270464
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,31.0,321.650688
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,32.0,316.932096
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,33.0,285.474816
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,34.0,226.75456
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,35.0,262.144
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,36.0,257.687552
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,37.0,346.03008
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,38.005,256.14468457711445
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,39.0,302.7170412060301
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,40.0,223.084544
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,41.0,386.138112
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,42.0,260.046848
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,43.0,278.134784
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,44.0,357.564416
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,45.0,228.06528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,46.0,340.7872
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,47.0,273.678336
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,48.0,355.467264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,49.0,289.931264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,50.0,243.007488
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,51.0,292.028416
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,52.0,345.767936
